time,ssid,bssid,rssi,rtt1,rtt2,using_wifi,using_cell,manual_flag
2025-01-13 07:55:30.389,"2012H",c2:2e:60:08:6c:06,-42,,15,218,1,0,default
2025-01-13 07:55:31.707,"2012H",c2:2e:60:08:6c:06,-43,,13,204,1,0,default
2025-01-13 07:55:32.971,"2012H",c2:2e:60:08:6c:06,-43,,21,188,1,0,default
2025-01-13 07:55:34.223,"2012H",c2:2e:60:08:6c:06,-43,,19,192,1,0,default
2025-01-13 07:55:35.476,"2012H",c2:2e:60:08:6c:06,-41,,14,201,1,0,default
2025-01-13 07:55:36.752,"2012H",c2:2e:60:08:6c:06,-41,,13,196,1,0,default
2025-01-13 07:55:38.000,"2012H",c2:2e:60:08:6c:06,-41,,12,213,1,0,default
2025-01-13 07:55:39.297,"2012H",c2:2e:60:08:6c:06,-41,,14,198,1,0,default
2025-01-13 07:55:40.560,"2012H",c2:2e:60:08:6c:06,-41,,30,199,1,0,default
2025-01-13 07:55:41.824,"2012H",c2:2e:60:08:6c:06,-40,,13,195,1,0,default
2025-01-13 07:55:43.083,"2012H",c2:2e:60:08:6c:06,-40,,20,192,1,0,default
2025-01-13 07:55:44.327,"2012H",c2:2e:60:08:6c:06,-40,,13,183,1,0,default
2025-01-13 07:55:45.561,"2012H",c2:2e:60:08:6c:06,-40,,13,181,1,0,default
2025-01-13 07:55:46.798,"2012H",c2:2e:60:08:6c:06,-40,,21,211,1,0,default
2025-01-13 07:55:48.065,"2012H",c2:2e:60:08:6c:06,-40,,20,198,1,0,default
2025-01-13 07:55:49.325,"2012H",c2:2e:60:08:6c:06,-40,,21,206,1,0,default
2025-01-13 07:55:50.595,"2012H",c2:2e:60:08:6c:06,-39,,20,187,1,0,default
2025-01-13 07:55:51.838,"2012H",c2:2e:60:08:6c:06,-39,,21,183,1,0,default
2025-01-13 07:55:53.101,"2012H",c2:2e:60:08:6c:06,-39,,20,185,1,0,default
2025-01-13 07:55:54.348,"2012H",c2:2e:60:08:6c:06,-39,,20,209,1,0,default
2025-01-13 07:55:55.620,"2012H",c2:2e:60:08:6c:06,-39,,10,200,1,0,default
2025-01-13 07:55:56.881,"2012H",c2:2e:60:08:6c:06,-39,,20,209,1,0,default
2025-01-13 07:55:58.155,"2012H",c2:2e:60:08:6c:06,-39,,20,179,1,0,default
2025-01-13 07:55:59.392,"2012H",c2:2e:60:08:6c:06,-40,,13,181,1,0,default
2025-01-13 07:56:00.632,"2012H",c2:2e:60:08:6c:06,-40,,13,205,1,0,default
2025-01-13 07:56:01.885,"2012H",c2:2e:60:08:6c:06,-43,,19,203,1,0,default
2025-01-13 07:56:03.144,"2012H",c2:2e:60:08:6c:06,-43,,15,196,1,0,default
2025-01-13 07:56:04.414,"2012H",c2:2e:60:08:6c:06,-43,,19,213,1,0,default
2025-01-13 07:56:05.688,"2012H",c2:2e:60:08:6c:06,-41,,13,209,1,0,default
2025-01-13 07:56:06.950,"2012H",c2:2e:60:08:6c:06,-41,,13,208,1,0,default
2025-01-13 07:56:08.236,"2012H",c2:2e:60:08:6c:06,-30,,14,193,1,0,default
2025-01-13 07:56:09.481,"2012H",c2:2e:60:08:6c:06,-30,,15,198,1,0,default
2025-01-13 07:56:10.772,"2012H",c2:2e:60:08:6c:06,-37,,20,192,1,0,default
2025-01-13 07:56:12.022,"2012H",c2:2e:60:08:6c:06,-37,,21,194,1,0,default
2025-01-13 07:56:13.301,"2012H",c2:2e:60:08:6c:06,-37,,20,184,1,0,default
2025-01-13 07:56:14.556,"2012H",c2:2e:60:08:6c:06,-37,,21,195,1,0,default
2025-01-13 07:56:15.824,"2012H",c2:2e:60:08:6c:06,-37,,14,183,1,0,default
2025-01-13 07:56:17.092,"2012H",c2:2e:60:08:6c:06,-40,,22,212,1,0,default
2025-01-13 07:56:18.374,"2012H",c2:2e:60:08:6c:06,-40,,20,181,1,0,default
2025-01-13 07:56:19.639,"2012H",c2:2e:60:08:6c:06,-40,,13,194,1,0,default
2025-01-13 07:56:20.910,"2012H",c2:2e:60:08:6c:06,-39,,69,212,1,0,default
2025-01-13 07:56:22.266,"2012H",c2:2e:60:08:6c:06,-39,,21,214,1,0,default
2025-01-13 07:56:23.531,"2012H",c2:2e:60:08:6c:02,-62,,12,193,1,0,default
2025-01-13 07:56:24.774,"2012H",c2:2e:60:08:6c:02,-62,,21,208,1,0,default
2025-01-13 07:56:26.055,"2012H",c2:2e:60:08:6c:02,-58,,13,197,1,0,default
2025-01-13 07:56:27.322,"2012H",c2:2e:60:08:6c:02,-58,,21,235,1,0,default
2025-01-13 07:56:28.644,"2012H",c2:2e:60:08:6c:02,-58,,22,203,1,0,default
2025-01-13 07:56:29.922,"2012H",c2:2e:60:08:6c:02,-66,,13,215,1,0,default
2025-01-13 07:56:31.196,"2012H",c2:2e:60:08:6c:02,-66,,15,192,1,0,default
2025-01-13 07:56:32.448,"2012H",c2:2e:60:08:6c:02,-66,,17,198,1,0,Door1_2
2025-01-13 07:56:33.725,"2012H",c2:2e:60:08:6c:02,-66,,268,510,1,0,default
2025-01-13 07:56:35.586,"2012H",c2:2e:60:08:6c:02,-70,,307,516,1,0,default
2025-01-13 07:56:37.486,"2012H",c2:2e:60:08:6c:02,-70,,12,187,1,0,default
2025-01-13 07:56:38.735,"2012H",c2:2e:60:08:6c:02,-70,,26,656,1,0,default
2025-01-13 07:56:40.452,"2012H",c2:2e:60:08:6c:02,-70,,20,202,1,0,default
2025-01-13 07:56:41.723,"2012H",c2:2e:60:08:6c:02,-68,,14,210,1,0,default
2025-01-13 07:56:43.048,"2012H",c2:2e:60:08:6c:02,-68,,23,219,1,0,default
2025-01-13 07:56:44.339,"2012H",c2:2e:60:08:6c:02,-67,,23,216,1,0,default
2025-01-13 07:56:45.620,"2012H",c2:2e:60:08:6c:02,-67,,14,202,1,0,default
2025-01-13 07:56:46.876,"2012H",c2:2e:60:08:6c:02,-70,,27,222,1,0,default
2025-01-13 07:56:48.160,"2012H",c2:2e:60:08:6c:02,-70,,22,200,1,0,default
2025-01-13 07:56:49.440,"2012H",c2:2e:60:08:6c:02,-70,,14,204,1,0,default
2025-01-13 07:56:50.717,"2012H",c2:2e:60:08:6c:02,-68,,20,201,1,0,default
2025-01-13 07:56:51.982,"2012H",c2:2e:60:08:6c:02,-68,,24,206,1,0,default
2025-01-13 07:56:53.266,"2012H",c2:2e:60:08:6c:02,-62,,13,197,1,0,default
2025-01-13 07:56:54.526,"2012H",c2:2e:60:08:6c:02,-62,,20,192,1,0,Door1_3
2025-01-13 07:56:55.779,"2012H",c2:2e:60:08:6c:02,-62,,22,243,1,0,default
2025-01-13 07:56:57.092,"2012H",c2:2e:60:08:6c:02,-60,,22,222,1,0,default
2025-01-13 07:56:58.382,"2012H",c2:2e:60:08:6c:02,-60,,24,216,1,0,default
2025-01-13 07:56:59.698,"2012H",c2:2e:60:08:6c:02,-49,,13,191,1,0,default
2025-01-13 07:57:00.947,"2012H",c2:2e:60:08:6c:02,-49,,23,224,1,0,default
2025-01-13 07:57:02.245,"2012H",c2:2e:60:08:6c:02,-36,,13,205,1,0,default
2025-01-13 07:57:03.509,"2012H",c2:2e:60:08:6c:02,-36,,17,219,1,0,default
2025-01-13 07:57:04.834,"2012H",c2:2e:60:08:6c:02,-36,,22,201,1,0,default
2025-01-13 07:57:06.110,"2012H",c2:2e:60:08:6c:02,-34,,21,189,1,0,default
2025-01-13 07:57:07.358,"2012H",c2:2e:60:08:6c:02,-34,,10,188,1,0,default
2025-01-13 07:57:08.595,"2012H",c2:2e:60:08:6c:02,-34,,34,181,1,0,default
2025-01-13 07:57:09.869,"2012H",c2:2e:60:08:6c:02,-34,,22,187,1,0,default
2025-01-13 07:57:11.127,"2012H",c2:2e:60:08:6c:02,-31,,22,189,1,0,default
2025-01-13 07:57:12.390,"2012H",c2:2e:60:08:6c:02,-31,,25,220,1,0,default
2025-01-13 07:57:13.694,"2012H",c2:2e:60:08:6c:06,-33,,17,207,1,0,default
2025-01-13 07:57:14.978,"2012H",c2:2e:60:08:6c:06,-33,,14,194,1,0,default
2025-01-13 07:57:16.249,"2012H",c2:2e:60:08:6c:06,-33,,21,182,1,0,default
2025-01-13 07:57:17.500,"2012H",c2:2e:60:08:6c:06,-36,,19,191,1,0,default
2025-01-13 07:57:18.789,"2012H",c2:2e:60:08:6c:06,-36,,33,201,1,0,default
2025-01-13 07:57:20.199,"2012H",c2:2e:60:08:6c:06,-35,,21,195,1,0,default
2025-01-13 07:57:21.465,"2012H",c2:2e:60:08:6c:06,-35,,16,215,1,0,default
2025-01-13 07:57:22.748,"2012H",c2:2e:60:08:6c:06,-47,,23,223,1,0,default
2025-01-13 07:57:24.041,"2012H",c2:2e:60:08:6c:06,-47,,21,186,1,0,default
2025-01-13 07:57:25.290,"2012H",c2:2e:60:08:6c:06,-47,,20,185,1,0,default
2025-01-13 07:57:26.550,"2012H",c2:2e:60:08:6c:06,-47,,20,211,1,0,default
2025-01-13 07:57:27.820,"2012H",c2:2e:60:08:6c:06,-47,,12,194,1,0,default
2025-01-13 07:57:29.062,"2012H",c2:2e:60:08:6c:06,-45,,20,202,1,0,default
2025-01-13 07:57:30.355,"2012H",c2:2e:60:08:6c:06,-45,,20,196,1,0,default
2025-01-13 07:57:31.612,"2012H",c2:2e:60:08:6c:06,-45,,13,237,1,0,default
2025-01-13 07:57:32.902,"2012H",c2:2e:60:08:6c:06,-45,,21,194,1,0,default
2025-01-13 07:57:34.155,"2012H",c2:2e:60:08:6c:06,-46,,20,442,1,0,default
2025-01-13 07:57:35.645,"2012H",c2:2e:60:08:6c:06,-46,,13,201,1,0,default
2025-01-13 07:57:36.895,"2012H",c2:2e:60:08:6c:06,-46,,19,212,1,0,default
2025-01-13 07:57:38.167,"2012H",c2:2e:60:08:6c:06,-46,,20,210,1,0,default
2025-01-13 07:57:39.431,"2012H",c2:2e:60:08:6c:06,-46,,19,205,1,0,default
2025-01-13 07:57:40.692,"2012H",c2:2e:60:08:6c:06,-45,,12,181,1,0,default
