time,ssid,bssid,rssi,rtt1,rtt2,using_wifi,using_cell,manual_flag
2025-01-12 21:43:39.074,"2012H",c2:2e:60:08:6c:06,-42,,12,183,1,0,default
2025-01-12 21:43:40.291,"2012H",c2:2e:60:08:6c:06,-44,,16,206,1,0,default
2025-01-12 21:43:41.539,"2012H",c2:2e:60:08:6c:06,-44,,20,213,1,0,default
2025-01-12 21:43:42.793,"2012H",c2:2e:60:08:6c:06,-44,,14,210,1,0,default
2025-01-12 21:43:44.054,"2012H",c2:2e:60:08:6c:06,-43,,13,213,1,0,default
2025-01-12 21:43:45.314,"2012H",c2:2e:60:08:6c:06,-43,,13,206,1,0,default
2025-01-12 21:43:46.572,"2012H",c2:2e:60:08:6c:06,-44,,10,175,1,0,default
2025-01-12 21:43:47.793,"2012H",c2:2e:60:08:6c:06,-44,,13,197,1,0,default
2025-01-12 21:43:49.034,"2012H",c2:2e:60:08:6c:06,-44,,14,178,1,0,default
2025-01-12 21:43:50.258,"2012H",c2:2e:60:08:6c:06,-44,,21,199,1,0,default
2025-01-12 21:43:51.504,"2012H",c2:2e:60:08:6c:06,-44,,10,198,1,0,default
2025-01-12 21:43:52.734,"2012H",c2:2e:60:08:6c:06,-44,,21,195,1,0,default
2025-01-12 21:43:53.978,"2012H",c2:2e:60:08:6c:06,-44,,20,183,1,0,default
2025-01-12 21:43:55.204,"2012H",c2:2e:60:08:6c:06,-44,,15,220,1,0,default
2025-01-12 21:43:56.458,"2012H",c2:2e:60:08:6c:06,-44,,21,186,1,0,default
2025-01-12 21:43:57.700,"2012H",c2:2e:60:08:6c:06,-44,,22,249,1,0,default
2025-01-12 21:43:59.043,"2012H",c2:2e:60:08:6c:06,-44,,15,217,1,0,default
2025-01-12 21:44:00.315,"2012H",c2:2e:60:08:6c:06,-44,,22,211,1,0,default
2025-01-12 21:44:01.592,"2012H",c2:2e:60:08:6c:06,-44,,21,184,1,0,default
