time,ssid,bssid,rssi,rsrp1,rtt1,rtt2,using_wifi,using_cell,manual_flag
2025-01-13 17:47:00.210,"Huawei-Guest",7c:c3:85:7c:e1:32,-73,-81,277,886,1,0,default
2025-01-13 17:47:02.431,"Huawei-Guest",7c:c3:85:7c:e1:32,-73,-81,50,227,1,0,default
2025-01-13 17:47:03.784,"Huawei-Guest",7c:c3:85:7c:e1:32,-73,-81,43,218,1,0,default
2025-01-13 17:47:05.136,"Huawei-Guest",7c:c3:85:7c:e1:32,-71,-81,45,261,1,0,default
2025-01-13 17:47:06.553,"Huawei-Guest",7c:c3:85:7c:e1:32,-71,-81,44,209,1,0,default
2025-01-13 17:47:07.910,"Huawei-Guest",7c:c3:85:7c:e1:32,-69,-81,61,208,1,0,default
2025-01-13 17:47:09.288,"Huawei-Guest",7c:c3:85:7c:e1:32,-69,-81,36,208,1,0,default
2025-01-13 17:47:10.640,"Huawei-Guest",7c:c3:85:7c:e1:32,-59,-81,64,212,1,0,default
2025-01-13 17:47:12.016,"Huawei-Guest",7c:c3:85:7c:e1:32,-59,-66,32,209,1,0,default
2025-01-13 17:47:13.347,"Huawei-Guest",7c:c3:85:7c:e1:32,-50,-66,51,197,1,0,default
2025-01-13 17:47:14.700,"Huawei-Guest",7c:c3:85:7c:e1:32,-50,-66,44,239,1,0,default
2025-01-13 17:47:16.094,"Huawei-Guest",7c:c3:85:7c:e1:32,-50,-66,47,208,1,0,default
2025-01-13 17:47:17.463,"Huawei-Guest",7c:c3:85:7c:e1:32,-41,-66,49,197,1,0,default
2025-01-13 17:47:18.824,"Huawei-Guest",7c:c3:85:7c:e1:32,-41,-66,47,209,1,0,default
2025-01-13 17:47:20.196,"Huawei-Guest",7c:c3:85:7c:e1:32,-48,-66,49,205,1,0,default
2025-01-13 17:47:21.564,"Huawei-Guest",7c:c3:85:7c:e1:32,-48,-66,45,217,1,0,default
2025-01-13 17:47:22.917,"Huawei-Guest",7c:c3:85:7c:e1:32,-49,-66,48,232,1,0,default
2025-01-13 17:47:24.295,"Huawei-Guest",7c:c3:85:7c:e1:32,-49,-66,47,226,1,0,default
2025-01-13 17:47:25.676,"Huawei-Guest",7c:c3:85:7c:e1:32,-50,-66,48,206,1,0,default
2025-01-13 17:47:27.065,"Huawei-Guest",7c:c3:85:7c:e1:32,-50,-64,42,197,1,0,default
2025-01-13 17:47:28.406,"Huawei-Guest",7c:c3:85:7c:e1:32,-55,-64,45,401,1,0,default
2025-01-13 17:47:29.957,"Huawei-Guest",7c:c3:85:7c:e1:32,-55,-64,47,194,1,0,default
2025-01-13 17:47:31.314,"Huawei-Guest",7c:c3:85:7c:e1:32,-49,-64,147,451,1,0,default
2025-01-13 17:47:33.000,"Huawei-Guest",7c:c3:85:7c:e1:32,-49,-64,49,210,1,0,default
2025-01-13 17:47:34.361,"Huawei-Guest",7c:c3:85:7c:e1:32,-49,-64,50,222,1,0,default
2025-01-13 17:47:35.752,"Huawei-Guest",7c:c3:85:7c:e1:32,-47,-64,49,228,1,0,default
2025-01-13 17:47:37.176,"Huawei-Guest",7c:c3:85:7c:e1:32,-47,-64,49,213,1,0,default
2025-01-13 17:47:38.550,"Huawei-Guest",7c:c3:85:7c:e1:32,-48,-64,47,278,1,0,default
2025-01-13 17:47:39.979,"Huawei-Guest",7c:c3:85:7c:e1:32,-48,-64,50,228,1,0,default
2025-01-13 17:47:41.375,"Huawei-Guest",7c:c3:85:7c:e1:32,-40,-77,49,235,1,0,default
2025-01-13 17:47:42.778,"Huawei-Guest",7c:c3:85:7c:e1:32,-40,-77,51,234,1,0,default
2025-01-13 17:47:44.191,"Huawei-Guest",7c:c3:85:7c:e1:32,-47,-77,56,222,1,0,default
2025-01-13 17:47:45.579,"Huawei-Guest",7c:c3:85:7c:e1:32,-47,-77,54,237,1,0,default
2025-01-13 17:47:46.964,"Huawei-Guest",7c:c3:85:7c:e1:32,-53,-77,126,544,1,0,default
2025-01-13 17:47:48.781,"Huawei-Guest",7c:c3:85:7c:e1:32,-53,-77,48,335,1,0,default
2025-01-13 17:47:50.292,"Huawei-Guest",7c:c3:85:7c:e1:32,-59,-77,37,207,1,0,default
2025-01-13 17:47:51.639,"Huawei-Guest",7c:c3:85:7c:e2:d2,-59,-96,61,318,1,0,default
2025-01-13 17:47:53.081,"Huawei-Guest",7c:c3:85:7c:e2:d2,-68,-96,32,206,1,0,default
2025-01-13 17:47:54.439,"Huawei-Guest",7c:c3:85:7c:e2:d2,-68,-96,40,232,1,0,default
2025-01-13 17:47:55.806,"Huawei-Guest",7c:c3:85:7c:e2:d2,-74,-96,45,195,1,0,default
2025-01-13 17:47:57.168,"Huawei-Guest",7c:c3:85:7c:e2:d2,-74,-96,89,242,1,0,default
2025-01-13 17:47:58.595,"Huawei-Guest",7c:c3:85:7c:e2:d2,-74,-96,29,244,1,0,default
2025-01-13 17:47:59.912,"Huawei-Guest",7c:c3:85:7c:e2:d2,-72,-96,41,239,1,0,default
2025-01-13 17:48:01.270,"Huawei-Guest",7c:c3:85:7c:e2:d2,-72,-96,68,264,1,0,default
2025-01-13 17:48:02.683,"Huawei-Guest",7c:c3:85:7c:e2:d2,-74,-95,75,1450,1,0,default
2025-01-13 17:48:05.290,"Huawei-Guest",7c:c3:85:7c:e2:d2,-76,-95,4122,241,1,0,Door2_1
