time,ssid,bssid,rssi,rsrp1,rtt1,rtt2,using_wifi,using_cell,manual_flag
2025-01-13 14:52:33.477,"Huawei-Guest",7c:c3:85:7c:e2:52,-51,-91,83,379,1,0,default
2025-01-13 14:52:34.974,"Huawei-Guest",7c:c3:85:7c:e2:52,-51,-91,60,432,1,0,default
2025-01-13 14:52:36.491,"Huawei-Guest",7c:c3:85:7c:e2:52,-46,-91,52,259,1,0,default
2025-01-13 14:52:37.822,"Huawei-Guest",7c:c3:85:7c:e2:52,-48,-91,50,264,1,0,default
2025-01-13 14:52:39.167,"Huawei-Guest",7c:c3:85:7c:e2:52,-48,-91,68,216,1,0,default
2025-01-13 14:52:40.493,"Huawei-Guest",7c:c3:85:7c:e2:52,-43,-91,37,367,1,0,default
2025-01-13 14:52:41.924,"Huawei-Guest",7c:c3:85:7c:e2:52,-46,-91,50,358,1,0,default
2025-01-13 14:52:43.360,"Huawei-Guest",7c:c3:85:7c:e2:52,-42,-91,69,328,1,0,default
2025-01-13 14:52:44.787,"Huawei-Guest",7c:c3:85:7c:e2:52,-45,-91,50,368,1,0,default
2025-01-13 14:52:46.237,"Huawei-Guest",7c:c3:85:7c:e2:52,-46,-91,51,204,1,0,default
2025-01-13 14:52:47.535,"Huawei-Guest",7c:c3:85:7c:e2:52,-49,-91,58,374,1,0,default
2025-01-13 14:52:49.001,"Huawei-Guest",7c:c3:85:7c:e2:52,-51,-91,50,191,1,0,default
2025-01-13 14:52:50.281,"Huawei-Guest",7c:c3:85:7c:e2:52,-52,-91,43,407,1,0,default
2025-01-13 14:52:51.762,"Huawei-Guest",7c:c3:85:7c:e2:52,-53,-91,50,350,1,0,default
2025-01-13 14:52:53.181,"Huawei-Guest",7c:c3:85:7c:e2:52,-53,-91,34,245,1,0,default
2025-01-13 14:52:54.501,"Huawei-Guest",7c:c3:85:7c:e2:52,-56,-91,31,245,1,0,default
2025-01-13 14:52:55.991,"Huawei-Guest",7c:c3:85:7c:e2:52,-60,-91,51,317,1,0,default
2025-01-13 14:52:57.387,"Huawei-Guest",7c:c3:85:7c:e2:52,-65,-91,51,265,1,0,default
2025-01-13 14:52:58.787,"Huawei-Guest",7c:c3:85:7c:e2:52,-66,-91,51,391,1,0,default
2025-01-13 14:53:00.304,"Huawei-Guest",7c:c3:85:7c:e2:52,-71,-91,32,207,1,0,default
2025-01-13 14:53:01.668,"Huawei-Guest",7c:c3:85:7c:e2:52,-71,-91,40,297,1,0,default
2025-01-13 14:53:03.042,"Huawei-Guest",7c:c3:85:7c:e2:52,-73,-91,56,190,1,0,default
2025-01-13 14:53:04.465,"Huawei-Guest",7c:c3:85:7c:e2:52,-72,-91,58,197,1,0,default
2025-01-13 14:53:05.788,"Huawei-Guest",7c:c3:85:7c:e2:52,-72,-91,52,248,1,0,default
2025-01-13 14:53:07.127,"Huawei-Guest",7c:c3:85:7c:e2:52,-69,-91,50,198,1,0,default
2025-01-13 14:53:08.419,"Huawei-Guest",7c:c3:85:7c:e2:52,-69,-91,52,180,1,0,default
2025-01-13 14:53:09.694,"Huawei-Guest",7c:c3:85:7c:e2:52,-76,-91,299,372,1,0,default
2025-01-13 14:53:11.497,"Huawei-Guest",7c:c3:85:7c:e2:52,-81,-91,328,192,1,0,default
2025-01-13 14:53:13.054,"Huawei-Guest",7c:c3:85:7c:e1:32,-69,-91,37,276,1,0,default
2025-01-13 14:53:14.400,"Huawei-Guest",7c:c3:85:7c:e1:32,-72,-91,115,219,1,0,default
2025-01-13 14:53:15.771,"Huawei-Guest",7c:c3:85:7c:e1:32,-73,-91,34,230,1,0,default
2025-01-13 14:53:17.065,"Huawei-Guest",7c:c3:85:7c:e1:32,-73,-91,40,304,1,0,default
2025-01-13 14:53:18.511,"Huawei-Guest",7c:c3:85:7c:e1:32,-79,-91,95,233,1,0,default
2025-01-13 14:53:19.870,"Huawei-Guest",7c:c3:85:7c:e1:32,-82,-91,325,311,1,0,default
2025-01-13 14:53:21.548,"Huawei-Guest",7c:c3:85:7c:e1:32,-82,-91,51,391,1,0,default
2025-01-13 14:53:23.032,"Huawei-Guest",7c:c3:85:7c:e1:32,-81,-91,40,377,1,0,default
2025-01-13 14:53:24.489,"Huawei-Guest",7c:c3:85:5e:a6:92,-87,-91,46,299,1,0,Door1_1
